,date_of_service,toc_code,rid,location,gbtt_ptd,gbtt_pta,actual_td,actual_ta,late_canc_reason,arrivalDelay,departureDelay,previousJourney,nextJourney,previousArrivalDelay,previousDepartureDelay,nextArrivalDelay,nextDepartureDelay,previousStation,nextStation,numberOfStops
7,2017-08-24,LE,201708247101237,LST,,0 days 06:54:00,,0 days 06:57:00,0.0,180.0,,,,60.0,,,,SRA,,8
0,2017-08-25,LE,201708257101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-25,LE,201708257101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,0.0,NRW,SMK,8
2,2017-08-25,LE,201708257101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,0.0,DIS,IPS,8
3,2017-08-25,LE,201708257101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:40:00,0.0,-120.0,0.0,720.0,540.0,0.0,0.0,0.0,0.0,SMK,MNG,8
4,2017-08-25,LE,201708257101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,0.0,0.0,0.0,540.0,540.0,-120.0,0.0,-120.0,-60.0,IPS,COL,8
5,2017-08-25,LE,201708257101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:01:00,0.0,-120.0,-60.0,540.0,2340.0,0.0,0.0,-60.0,,MNG,SRA,8
6,2017-08-25,LE,201708257101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,-120.0,-60.0,120.0,,COL,LST,8
7,2017-08-25,LE,201708257101237,LST,,0 days 06:54:00,,0 days 06:56:00,0.0,120.0,,,,-60.0,,,,SRA,,8
0,2017-08-29,LE,201708297101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-29,LE,201708297101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,8
2,2017-08-29,LE,201708297101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,8
3,2017-08-29,LE,201708297101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,0.0,0.0,SMK,MNG,8
4,2017-08-29,LE,201708297101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,0.0,0.0,0.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-08-29,LE,201708297101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,0.0,0.0,360.0,,MNG,SRA,8
6,2017-08-29,LE,201708297101237,SRA,,0 days 06:44:00,,0 days 06:50:00,0.0,360.0,,2340.0,,-60.0,-60.0,420.0,,COL,LST,8
7,2017-08-29,LE,201708297101237,LST,,0 days 06:54:00,,0 days 07:01:00,0.0,420.0,,,,360.0,,,,SRA,,8
0,2017-08-30,LE,201708307101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-08-30,LE,201708307101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,0.0,0.0,60.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-08-30,LE,201708307101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,0.0,60.0,0.0,-60.0,DIS,IPS,8
3,2017-08-30,LE,201708307101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:42:00,0.0,0.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-08-30,LE,201708307101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,0.0,-60.0,0.0,-60.0,IPS,COL,8
5,2017-08-30,LE,201708307101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,0.0,60.0,120.0,,MNG,SRA,8
6,2017-08-30,LE,201708307101237,SRA,,0 days 06:44:00,,0 days 06:46:00,0.0,120.0,,2340.0,,0.0,-60.0,120.0,,COL,LST,8
7,2017-08-30,LE,201708307101237,LST,,0 days 06:54:00,,0 days 06:56:00,0.0,120.0,,,,120.0,,,,SRA,,8
0,2017-08-31,LE,201708317101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-08-31,LE,201708317101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,0.0,0.0,60.0,1020.0,660.0,,0.0,120.0,120.0,NRW,SMK,8
2,2017-08-31,LE,201708317101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:32:00,0 days 05:31:00,0.0,120.0,120.0,660.0,720.0,0.0,60.0,60.0,60.0,DIS,IPS,8
3,2017-08-31,LE,201708317101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:45:00,0 days 05:43:00,0.0,60.0,60.0,720.0,540.0,120.0,120.0,60.0,120.0,SMK,MNG,8
4,2017-08-31,LE,201708317101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:56:00,0 days 05:54:00,0.0,60.0,120.0,540.0,540.0,60.0,60.0,0.0,-60.0,IPS,COL,8
5,2017-08-31,LE,201708317101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,60.0,120.0,120.0,,MNG,SRA,8
6,2017-08-31,LE,201708317101237,SRA,,0 days 06:44:00,,0 days 06:46:00,0.0,120.0,,2340.0,,0.0,-60.0,180.0,,COL,LST,8
7,2017-08-31,LE,201708317101237,LST,,0 days 06:54:00,,0 days 06:57:00,0.0,180.0,,,,120.0,,,,SRA,,8
0,2017-09-01,LE,201709017101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-120.0,0.0,,DIS,8
1,2017-09-01,LE,201709017101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:15:00,0.0,-120.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,8
2,2017-09-01,LE,201709017101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-120.0,0.0,-120.0,-60.0,DIS,IPS,8
3,2017-09-01,LE,201709017101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,0.0,0.0,SMK,MNG,8
4,2017-09-01,LE,201709017101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,0.0,0.0,0.0,540.0,540.0,-120.0,-60.0,-120.0,-60.0,IPS,COL,8
5,2017-09-01,LE,201709017101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:01:00,0.0,-120.0,-60.0,540.0,2340.0,0.0,0.0,-120.0,,MNG,SRA,8
6,2017-09-01,LE,201709017101237,SRA,,0 days 06:44:00,,0 days 06:42:00,0.0,-120.0,,2340.0,,-120.0,-60.0,-120.0,,COL,LST,8
7,2017-09-01,LE,201709017101237,LST,,0 days 06:54:00,,0 days 06:52:00,0.0,-120.0,,,,-120.0,,,,SRA,,8
0,2017-09-04,LE,201709047101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,60.0,120.0,,DIS,8
1,2017-09-04,LE,201709047101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:20:00,0 days 05:18:00,0.0,60.0,120.0,1020.0,660.0,,0.0,180.0,180.0,NRW,SMK,8
2,2017-09-04,LE,201709047101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:33:00,0 days 05:32:00,0.0,180.0,180.0,660.0,720.0,60.0,120.0,60.0,60.0,DIS,IPS,8
3,2017-09-04,LE,201709047101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:45:00,0 days 05:43:00,0.0,60.0,60.0,720.0,540.0,180.0,180.0,120.0,120.0,SMK,MNG,8
4,2017-09-04,LE,201709047101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:56:00,0 days 05:55:00,0.0,120.0,120.0,540.0,540.0,60.0,60.0,60.0,60.0,IPS,COL,8
5,2017-09-04,LE,201709047101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:06:00,0 days 06:04:00,0.0,60.0,60.0,540.0,2340.0,120.0,120.0,240.0,,MNG,SRA,8
6,2017-09-04,LE,201709047101237,SRA,,0 days 06:44:00,,0 days 06:48:00,0.0,240.0,,2340.0,,60.0,60.0,240.0,,COL,LST,8
7,2017-09-04,LE,201709047101237,LST,,0 days 06:54:00,,0 days 06:58:00,0.0,240.0,,,,240.0,,,,SRA,,8
0,2017-09-05,LE,201709057101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-05,LE,201709057101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-09-05,LE,201709057101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,8
3,2017-09-05,LE,201709057101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-09-05,LE,201709057101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,-60.0,0.0,-60.0,IPS,COL,8
5,2017-09-05,LE,201709057101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,0.0,60.0,-60.0,,MNG,SRA,8
6,2017-09-05,LE,201709057101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,0.0,-60.0,60.0,,COL,LST,8
7,2017-09-05,LE,201709057101237,LST,,0 days 06:54:00,,0 days 06:55:00,0.0,60.0,,,,-60.0,,,,SRA,,8
0,2017-09-06,LE,201709067101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-06,LE,201709067101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,0.0,NRW,SMK,8
2,2017-09-06,LE,201709067101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:30:00,0.0,60.0,0.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,8
3,2017-09-06,LE,201709067101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,0.0,0.0,0.0,SMK,MNG,8
4,2017-09-06,LE,201709067101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,0.0,0.0,0.0,540.0,540.0,-60.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-09-06,LE,201709067101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,0.0,0.0,240.0,,MNG,SRA,8
6,2017-09-06,LE,201709067101237,SRA,,0 days 06:44:00,,0 days 06:48:00,0.0,240.0,,2340.0,,-60.0,-60.0,240.0,,COL,LST,8
7,2017-09-06,LE,201709067101237,LST,,0 days 06:54:00,,0 days 06:58:00,0.0,240.0,,,,240.0,,,,SRA,,8
0,2017-09-07,LE,201709077101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-07,LE,201709077101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,8
2,2017-09-07,LE,201709077101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,0.0,DIS,IPS,8
3,2017-09-07,LE,201709077101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:41:00,0.0,-60.0,0.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-09-07,LE,201709077101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,0.0,0.0,-60.0,IPS,COL,8
5,2017-09-07,LE,201709077101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,0.0,60.0,-60.0,,MNG,SRA,8
6,2017-09-07,LE,201709077101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,0.0,-60.0,0.0,,COL,LST,8
7,2017-09-07,LE,201709077101237,LST,,0 days 06:54:00,,0 days 06:54:00,0.0,0.0,,,,-60.0,,,,SRA,,8
0,2017-09-08,LE,201709087101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-08,LE,201709087101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-09-08,LE,201709087101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,0.0,-60.0,DIS,IPS,8
3,2017-09-08,LE,201709087101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:42:00,0.0,0.0,-60.0,720.0,540.0,60.0,60.0,60.0,120.0,SMK,MNG,8
4,2017-09-08,LE,201709087101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:56:00,0 days 05:54:00,0.0,60.0,120.0,540.0,540.0,0.0,-60.0,60.0,0.0,IPS,COL,8
5,2017-09-08,LE,201709087101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:05:00,0 days 06:04:00,0.0,60.0,0.0,540.0,2340.0,60.0,120.0,0.0,,MNG,SRA,8
6,2017-09-08,LE,201709087101237,SRA,,0 days 06:44:00,,0 days 06:44:00,0.0,0.0,,2340.0,,60.0,0.0,60.0,,COL,LST,8
7,2017-09-08,LE,201709087101237,LST,,0 days 06:54:00,,0 days 06:55:00,0.0,60.0,,,,0.0,,,,SRA,,8
0,2017-09-11,LE,201709117101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-11,LE,201709117101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,8
2,2017-09-11,LE,201709117101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,0.0,DIS,IPS,8
3,2017-09-11,LE,201709117101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:41:00,0.0,-60.0,0.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-09-11,LE,201709117101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,0.0,0.0,-60.0,IPS,COL,8
5,2017-09-11,LE,201709117101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,0.0,60.0,180.0,,MNG,SRA,8
6,2017-09-11,LE,201709117101237,SRA,,0 days 06:44:00,,0 days 06:47:00,0.0,180.0,,2340.0,,0.0,-60.0,180.0,,COL,LST,8
7,2017-09-11,LE,201709117101237,LST,,0 days 06:54:00,,0 days 06:57:00,0.0,180.0,,,,180.0,,,,SRA,,8
0,2017-09-12,LE,201709127101237,NRW,0 days 05:00:00,,0 days 05:01:00,,648.0,,60.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-09-12,LE,201709127101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,648.0,0.0,60.0,1020.0,660.0,,60.0,120.0,120.0,NRW,SMK,8
2,2017-09-12,LE,201709127101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:32:00,0 days 05:31:00,648.0,120.0,120.0,660.0,720.0,0.0,60.0,0.0,0.0,DIS,IPS,8
3,2017-09-12,LE,201709127101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:42:00,648.0,0.0,0.0,720.0,540.0,120.0,120.0,0.0,60.0,SMK,MNG,8
4,2017-09-12,LE,201709127101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,648.0,0.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,8
5,2017-09-12,LE,201709127101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,648.0,0.0,-60.0,540.0,2340.0,0.0,60.0,60.0,,MNG,SRA,8
6,2017-09-12,LE,201709127101237,SRA,,0 days 06:44:00,,0 days 06:45:00,648.0,60.0,,2340.0,,0.0,-60.0,180.0,,COL,LST,8
7,2017-09-12,LE,201709127101237,LST,,0 days 06:54:00,,0 days 06:57:00,648.0,180.0,,,,60.0,,,,SRA,,8
0,2017-09-13,LE,201709137101237,NRW,0 days 05:00:00,,0 days 05:00:00,,0.0,,0.0,,1020.0,,,60.0,60.0,,DIS,8
1,2017-09-13,LE,201709137101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:18:00,0.0,60.0,60.0,1020.0,660.0,,0.0,120.0,120.0,NRW,SMK,8
2,2017-09-13,LE,201709137101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:32:00,0 days 05:31:00,0.0,120.0,120.0,660.0,720.0,60.0,60.0,0.0,-60.0,DIS,IPS,8
3,2017-09-13,LE,201709137101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:42:00,0.0,0.0,-60.0,720.0,540.0,120.0,120.0,0.0,60.0,SMK,MNG,8
4,2017-09-13,LE,201709137101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:53:00,0.0,0.0,60.0,540.0,540.0,0.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-09-13,LE,201709137101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,0.0,60.0,-60.0,,MNG,SRA,8
6,2017-09-13,LE,201709137101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,-60.0,-60.0,0.0,,COL,LST,8
7,2017-09-13,LE,201709137101237,LST,,0 days 06:54:00,,0 days 06:54:00,0.0,0.0,,,,-60.0,,,,SRA,,8
0,2017-09-14,LE,201709147101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-14,LE,201709147101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,8
2,2017-09-14,LE,201709147101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:30:00,0 days 05:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,8
3,2017-09-14,LE,201709147101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,-60.0,0.0,SMK,MNG,8
4,2017-09-14,LE,201709147101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:52:00,0.0,-60.0,0.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,8
5,2017-09-14,LE,201709147101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:02:00,0.0,-60.0,-60.0,540.0,2340.0,-60.0,0.0,-60.0,,MNG,SRA,8
6,2017-09-14,LE,201709147101237,SRA,,0 days 06:44:00,,0 days 06:43:00,0.0,-60.0,,2340.0,,-60.0,-60.0,60.0,,COL,LST,8
7,2017-09-14,LE,201709147101237,LST,,0 days 06:54:00,,0 days 06:55:00,0.0,60.0,,,,-60.0,,,,SRA,,8
0,2017-09-15,LE,201709157101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-15,LE,201709157101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,8
2,2017-09-15,LE,201709157101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,8
3,2017-09-15,LE,201709157101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,0.0,SMK,MNG,8
4,2017-09-15,LE,201709157101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,0.0,0.0,0.0,540.0,540.0,-60.0,-60.0,-120.0,-60.0,IPS,COL,8
5,2017-09-15,LE,201709157101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:01:00,0.0,-120.0,-60.0,540.0,2340.0,0.0,0.0,-120.0,,MNG,SRA,8
6,2017-09-15,LE,201709157101237,SRA,,0 days 06:44:00,,0 days 06:42:00,0.0,-120.0,,2340.0,,-120.0,-60.0,60.0,,COL,LST,8
7,2017-09-15,LE,201709157101237,LST,,0 days 06:54:00,,0 days 06:55:00,0.0,60.0,,,,-120.0,,,,SRA,,8
0,2017-09-18,LE,201709187101237,NRW,0 days 05:00:00,,0 days 05:00:00,,734.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-09-18,LE,201709187101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:18:00,0 days 05:16:00,734.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-09-18,LE,201709187101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:30:00,734.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,8
3,2017-09-18,LE,201709187101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:43:00,0 days 05:41:00,734.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,0.0,SMK,MNG,8
4,2017-09-18,LE,201709187101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:54:00,0 days 05:53:00,734.0,0.0,0.0,540.0,540.0,-60.0,-60.0,-120.0,-60.0,IPS,COL,8
5,2017-09-18,LE,201709187101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:01:00,734.0,-120.0,-60.0,540.0,2340.0,0.0,0.0,1440.0,,MNG,SRA,8
6,2017-09-18,LE,201709187101237,SRA,,0 days 06:44:00,,0 days 07:08:00,734.0,1440.0,,2340.0,,-120.0,-60.0,1500.0,,COL,LST,8
7,2017-09-18,LE,201709187101237,LST,,0 days 06:54:00,,0 days 07:19:00,734.0,1500.0,,,,1440.0,,,,SRA,,8
0,2017-09-19,LE,201709197101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-09-19,LE,201709197101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,0.0,0.0,60.0,1020.0,660.0,,-60.0,120.0,180.0,NRW,SMK,8
2,2017-09-19,LE,201709197101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:33:00,0 days 05:31:00,0.0,120.0,180.0,660.0,720.0,0.0,60.0,60.0,60.0,DIS,IPS,8
3,2017-09-19,LE,201709197101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:45:00,0 days 05:43:00,0.0,60.0,60.0,720.0,540.0,120.0,180.0,60.0,120.0,SMK,MNG,8
4,2017-09-19,LE,201709197101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:56:00,0 days 05:54:00,0.0,60.0,120.0,540.0,540.0,60.0,60.0,0.0,0.0,IPS,COL,8
5,2017-09-19,LE,201709197101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:05:00,0 days 06:03:00,0.0,0.0,0.0,540.0,2340.0,60.0,120.0,420.0,,MNG,SRA,8
6,2017-09-19,LE,201709197101237,SRA,,0 days 06:44:00,,0 days 06:51:00,0.0,420.0,,2340.0,,0.0,0.0,840.0,,COL,LST,8
7,2017-09-19,LE,201709197101237,LST,,0 days 06:54:00,,0 days 07:08:00,0.0,840.0,,,,420.0,,,,SRA,,8
0,2017-09-20,LE,201709207101237,NRW,0 days 05:00:00,,0 days 04:59:00,,0.0,,-60.0,,1020.0,,,0.0,60.0,,DIS,8
1,2017-09-20,LE,201709207101237,DIS,0 days 05:18:00,0 days 05:17:00,0 days 05:19:00,0 days 05:17:00,0.0,0.0,60.0,1020.0,660.0,,-60.0,120.0,60.0,NRW,SMK,8
2,2017-09-20,LE,201709207101237,SMK,0 days 05:30:00,0 days 05:29:00,0 days 05:31:00,0 days 05:31:00,0.0,120.0,60.0,660.0,720.0,0.0,60.0,0.0,0.0,DIS,IPS,8
3,2017-09-20,LE,201709207101237,IPS,0 days 05:44:00,0 days 05:42:00,0 days 05:44:00,0 days 05:42:00,0.0,0.0,0.0,720.0,540.0,120.0,60.0,60.0,60.0,SMK,MNG,8
4,2017-09-20,LE,201709207101237,MNG,0 days 05:54:00,0 days 05:53:00,0 days 05:55:00,0 days 05:54:00,0.0,60.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,8
5,2017-09-20,LE,201709207101237,COL,0 days 06:05:00,0 days 06:03:00,0 days 06:04:00,0 days 06:03:00,0.0,0.0,-60.0,540.0,2340.0,60.0,60.0,240.0,,MNG,SRA,8
6,2017-09-20,LE,201709207101237,SRA,,0 days 06:44:00,,0 days 06:48:00,0.0,240.0,,2340.0,,0.0,-60.0,300.0,,COL,LST,8
